Time,Variable 1,Variable 2
2017/1/1 16:10,Variable 1: 6.11-11.59,Variable 2: 20.36-27.23
2017/1/1 16:20,Variable 1: 6.11-11.59,Variable 2: 20.36-27.23
2017/1/1 16:30,Variable 1: 6.11-11.59,Variable 2: 20.36-27.23
2017/1/1 16:40,Variable 1: 6.11-11.59,Variable 2: 20.36-27.23
2017/1/1 16:50,Variable 1: 6.11-11.59,Variable 2: 20.36-27.23
2017/1/1 17:00,Variable 1: 6.11-11.59,Variable 2: 20.36-27.23
2017/1/1 17:10,Variable 1: 6.11-11.59,Variable 2: 20.36-27.23
2017/1/1 17:20,Variable 1: 6.11-11.59,Variable 2: 20.36-27.23
2017/1/1 17:30,Variable 1: 6.11-11.59,Variable 2: 20.36-27.23
2017/1/1 17:40,Variable 1: 6.11-11.59,Variable 2: 20.36-27.23
2017/1/1 17:50,Variable 1: 6.11-11.59,Variable 2: 20.36-27.23
2017/1/1 18:00,Variable 1: 6.11-11.59,Variable 2: 20.36-27.23
2017/1/1 18:10,Variable 1: 6.11-11.59,Variable 2: 20.36-27.23
2017/1/1 18:20,Variable 1: 6.11-11.59,Variable 2: 20.36-27.23
2017/1/1 18:30,Variable 1: 6.11-11.59,Variable 2: 20.36-27.23
2017/1/1 18:40,Variable 1: 6.11-11.59,Variable 2: 20.36-27.23
2017/1/1 18:50,Variable 1: 6.11-11.59,Variable 2: 20.36-27.23
2017/1/1 19:00,Variable 1: 6.11-11.59,Variable 2: 20.36-27.23
2017/1/1 19:10,Variable 1: 6.11-11.59,Variable 2: 20.36-27.23
2017/1/1 19:20,Variable 1: 6.11-11.59,Variable 2: 20.36-27.23
2017/1/1 19:30,Variable 1: 6.11-11.59,Variable 2: 20.36-27.23
2017/1/1 19:40,Variable 1: 6.11-11.59,Variable 2: 20.36-27.23
2017/1/1 19:50,Variable 1: 6.11-11.59,Variable 2: 20.36-27.23
2017/1/1 20:00,Variable 1: 6.11-11.59,Variable 2: 20.36-27.23
2017/1/1 20:10,Variable 1: 6.11-11.59,Variable 2: 20.36-27.23
2017/1/1 20:20,Variable 1: 6.11-11.59,Variable 2: 20.36-27.23
2017/1/1 20:30,Variable 1: 6.11-11.59,Variable 2: 20.36-27.23
2017/1/1 20:40,Variable 1: 6.11-11.59,Variable 2: 20.36-27.23
2017/1/1 20:50,Variable 1: 6.11-11.59,Variable 2: 20.36-27.23
2017/1/1 21:00,Variable 1: 6.11-11.59,Variable 2: 20.36-27.23
2017/1/1 21:10,Variable 1: 6.11-11.59,Variable 2: 20.36-27.23
2017/1/1 21:20,Variable 1: 6.11-11.59,Variable 2: 20.36-27.23
2017/1/1 21:30,Variable 1: 6.11-11.59,Variable 2: 20.36-27.23
2017/1/1 21:40,Variable 1: 6.11-11.59,Variable 2: 20.36-27.23
2017/1/1 21:50,Variable 1: 6.11-11.59,Variable 2: 20.36-27.23
2017/1/1 22:00,Variable 1: 6.11-11.59,Variable 2: 20.36-27.23
2017/1/1 22:10,Variable 1: 6.11-11.59,Variable 2: 20.36-27.23
2017/1/1 22:20,Variable 1: 6.11-11.59,Variable 2: 20.36-27.23
2017/1/1 22:30,Variable 1: 6.11-11.59,Variable 2: 20.36-27.23
2017/1/1 22:40,Variable 1: 6.11-11.59,Variable 2: 20.36-27.23
2017/1/1 22:50,Variable 1: 6.11-11.59,Variable 2: 20.36-27.23
2017/1/1 23:00,Variable 1: 6.11-11.59,Variable 2: 20.36-27.23
2017/1/1 23:10,Variable 1: 6.11-11.59,Variable 2: 20.36-27.23
2017/1/1 23:20,Variable 1: 6.11-11.59,Variable 2: 20.36-27.23
2017/1/1 23:30,Variable 1: 6.11-11.59,Variable 2: 20.36-27.23
2017/1/1 23:40,Variable 1: 6.11-11.59,Variable 2: 20.36-27.23
2017/1/1 23:50,Variable 1: 6.11-11.59,Variable 2: 20.36-27.23
2017/1/2 0:00,Variable 1: 6.11-11.59,Variable 2: 20.36-27.23
2017/1/2 0:10,Variable 1: 6.11-11.59,Variable 2: 20.36-27.23
2017/1/2 0:20,Variable 1: 6.11-11.59,Variable 2: 20.36-27.23
2017/1/2 0:30,Variable 1: 6.11-11.59,Variable 2: 20.36-27.23
2017/1/2 0:40,Variable 1: 6.11-11.59,Variable 2: 20.36-27.23
2017/1/2 0:50,Variable 1: 6.11-11.59,Variable 2: 20.36-27.23
2017/1/2 1:00,Variable 1: 6.11-11.59,Variable 2: 20.36-27.23
2017/1/2 1:10,Variable 1: 6.11-11.59,Variable 2: 20.36-27.23
2017/1/2 1:20,Variable 1: 6.11-11.59,Variable 2: 20.36-27.23
2017/1/2 1:30,Variable 1: 6.11-11.59,Variable 2: 20.36-27.23
2017/1/2 1:40,Variable 1: 6.11-11.59,Variable 2: 20.36-27.23
2017/1/2 1:50,Variable 1: 6.11-11.59,Variable 2: 20.36-27.23
2017/1/2 2:00,Variable 1: 6.11-11.59,Variable 2: 20.36-27.23
2017/1/2 2:10,Variable 1: 6.11-11.59,Variable 2: 20.36-27.23
2017/1/2 2:20,Variable 1: 6.11-11.59,Variable 2: 20.36-27.23
2017/1/2 2:30,Variable 1: 6.11-11.59,Variable 2: 20.36-27.23
2017/1/2 2:40,Variable 1: 6.11-11.59,Variable 2: 20.36-27.23
2017/1/2 2:50,Variable 1: 6.11-11.59,Variable 2: 20.36-27.23
2017/1/2 3:00,Variable 1: 6.11-11.59,Variable 2: 20.36-27.23
2017/1/2 3:10,Variable 1: 6.11-11.59,Variable 2: 20.36-27.23
2017/1/2 3:20,Variable 1: 6.11-11.59,Variable 2: 20.36-27.23
2017/1/2 3:30,Variable 1: 6.11-11.59,Variable 2: 20.36-27.23
2017/1/2 3:40,Variable 1: 6.11-11.59,Variable 2: 20.36-27.23
2017/1/2 3:50,Variable 1: 6.11-11.59,Variable 2: 20.36-27.23
2017/1/2 4:00,Variable 1: 6.11-11.59,Variable 2: 20.36-27.23
2017/1/2 4:10,Variable 1: 6.11-11.59,Variable 2: 20.36-27.23
2017/1/2 4:20,Variable 1: 6.11-11.59,Variable 2: 20.36-27.23
2017/1/2 4:30,Variable 1: 6.11-11.59,Variable 2: 20.36-27.23
2017/1/2 4:40,Variable 1: 6.11-11.59,Variable 2: 20.36-27.23
2017/1/2 4:50,Variable 1: 6.11-11.59,Variable 2: 20.36-27.23
2017/1/2 5:00,Variable 1: 6.11-11.59,Variable 2: 20.36-27.23
2017/1/2 5:10,Variable 1: 6.11-11.59,Variable 2: 20.36-27.23
2017/1/2 5:20,Variable 1: 6.11-11.59,Variable 2: 20.36-27.23
2017/1/2 5:30,Variable 1: 6.11-11.59,Variable 2: 20.36-27.23
2017/1/2 5:40,Variable 1: 6.11-11.59,Variable 2: 20.36-27.23
2017/1/2 5:50,Variable 1: 6.11-11.59,Variable 2: 20.36-27.23
2017/1/2 6:00,Variable 1: 6.11-11.59,Variable 2: 20.36-27.23
2017/1/2 6:10,Variable 1: 6.11-11.59,Variable 2: 20.36-27.23
2017/1/2 6:20,Variable 1: 6.11-11.59,Variable 2: 20.36-27.23
2017/1/2 6:30,Variable 1: 6.11-11.59,Variable 2: 20.36-27.23
2017/1/2 6:40,Variable 1: 6.11-11.59,Variable 2: 20.36-27.23
2017/1/2 6:50,Variable 1: 6.11-11.59,Variable 2: 20.36-27.23
2017/1/2 7:00,Variable 1: 6.11-11.59,Variable 2: 20.36-27.23
2017/1/2 7:10,Variable 1: 6.11-11.59,Variable 2: 20.36-27.23
2017/1/2 7:20,Variable 1: 6.11-11.59,Variable 2: 20.36-27.23
2017/1/2 7:30,Variable 1: 6.11-11.59,Variable 2: 20.36-27.23
2017/1/2 7:40,Variable 1: 6.11-11.59,Variable 2: 20.36-27.23
2017/1/2 7:50,Variable 1: 6.11-11.59,Variable 2: 20.36-27.23
2017/1/2 8:50,Variable 1: 6.11-11.59,Variable 2: 20.36-27.23
2017/1/2 9:00,Variable 1: 6.11-11.59,Variable 2: 20.36-27.23
2017/1/2 9:10,Variable 1: 6.11-11.59,Variable 2: 20.36-27.23
2017/1/2 9:20,Variable 1: 6.11-11.59,Variable 2: 20.36-27.23
2017/1/2 9:30,Variable 1: 6.11-11.59,Variable 2: 20.36-27.23
2017/1/2 9:40,Variable 1: 6.11-11.59,Variable 2: 20.36-27.23
2017/1/2 9:50,Variable 1: 6.11-11.59,Variable 2: 20.36-27.23
2017/1/2 10:00,Variable 1: 6.11-11.59,Variable 2: 20.36-27.23
2017/1/2 10:10,Variable 1: 6.11-11.59,Variable 2: 20.36-27.23
2017/1/2 10:20,Variable 1: 6.11-11.59,Variable 2: 20.36-27.23
2017/1/2 10:30,Variable 1: 6.11-11.59,Variable 2: 20.36-27.23
2017/1/2 10:40,Variable 1: 6.11-11.59,Variable 2: 20.36-27.23
2017/1/2 10:50,Variable 1: 6.11-11.59,Variable 2: 20.36-27.23
2017/1/2 11:00,Variable 1: 6.11-11.59,Variable 2: 20.36-27.23
2017/1/2 11:10,Variable 1: 6.11-11.59,Variable 2: 20.36-27.23
2017/1/2 11:20,Variable 1: 6.11-11.59,Variable 2: 20.36-27.23
2017/1/2 11:30,Variable 1: 6.11-11.59,Variable 2: 20.36-27.23
2017/1/2 11:40,Variable 1: 6.11-11.59,Variable 2: 20.36-27.23
2017/1/2 11:50,Variable 1: 6.11-11.59,Variable 2: 20.36-27.23
2017/1/2 12:00,Variable 1: 6.11-11.59,Variable 2: 20.36-27.23
2017/1/2 12:10,Variable 1: 6.11-11.59,Variable 2: 20.36-27.23
2017/1/2 12:20,Variable 1: 6.11-11.59,Variable 2: 20.36-27.23
2017/1/2 12:30,Variable 1: 6.11-11.59,Variable 2: 20.36-27.23
2017/1/2 12:40,Variable 1: 6.11-11.59,Variable 2: 20.36-27.23
2017/1/2 12:50,Variable 1: 6.11-11.59,Variable 2: 20.36-27.23
2017/1/2 13:00,Variable 1: 6.11-11.59,Variable 2: 20.36-27.23
2017/1/2 13:10,Variable 1: 6.11-11.59,Variable 2: 20.36-27.23
2017/1/2 13:20,Variable 1: 6.11-11.59,Variable 2: 20.36-27.23
2017/1/2 13:30,Variable 1: 6.11-11.59,Variable 2: 20.36-27.23
2017/1/2 13:40,Variable 1: 6.11-11.59,Variable 2: 20.36-27.23
2017/1/2 13:50,Variable 1: 6.11-11.59,Variable 2: 20.36-27.23
2017/1/2 14:00,Variable 1: 6.11-11.59,Variable 2: 20.36-27.23
2017/1/2 14:10,Variable 1: 6.11-11.59,Variable 2: 20.36-27.23
2017/1/2 14:20,Variable 1: 6.11-11.59,Variable 2: 20.36-27.23
2017/1/2 14:30,Variable 1: 6.11-11.59,Variable 2: 20.36-27.23
2017/1/2 14:40,Variable 1: 6.11-11.59,Variable 2: 20.36-27.23
2017/1/2 14:50,Variable 1: 6.11-11.59,Variable 2: 20.36-27.23
2017/1/2 15:00,Variable 1: 6.11-11.59,Variable 2: 20.36-27.23
2017/1/2 15:10,Variable 1: 6.11-11.59,Variable 2: 20.36-27.23
2017/1/2 15:20,Variable 1: 6.11-11.59,Variable 2: 20.36-27.23
2017/1/2 15:30,Variable 1: 6.11-11.59,Variable 2: 20.36-27.23
2017/1/2 15:40,Variable 1: 6.11-11.59,Variable 2: 20.36-27.23
2017/1/2 15:50,Variable 1: 6.11-11.59,Variable 2: 20.36-27.23
2017/1/2 16:00,Variable 1: 6.11-11.59,Variable 2: 20.36-27.23
2017/1/2 16:10,Variable 1: 6.11-11.59,Variable 2: 20.36-27.23
2017/1/2 16:20,Variable 1: 6.11-11.59,Variable 2: 20.36-27.23
2017/1/2 16:30,Variable 1: 6.11-11.59,Variable 2: 20.36-27.23
2017/1/2 16:40,Variable 1: 6.11-11.59,Variable 2: 20.36-27.23
2017/1/2 16:50,Variable 1: 6.11-11.59,Variable 2: 20.36-27.23
2017/1/2 17:00,Variable 1: 6.11-11.59,Variable 2: 20.36-27.23
2017/1/2 17:10,Variable 1: 6.11-11.59,Variable 2: 20.36-27.23
2017/1/2 17:20,Variable 1: 6.11-11.59,Variable 2: 20.36-27.23
2017/1/2 17:30,Variable 1: 6.11-11.59,Variable 2: 20.36-27.23
2017/1/2 17:40,Variable 1: 6.11-11.59,Variable 2: 20.36-27.23
2017/1/2 17:50,Variable 1: 6.11-11.59,Variable 2: 20.36-27.23
2017/1/2 18:00,Variable 1: 6.11-11.59,Variable 2: 20.36-27.23
2017/1/2 18:10,Variable 1: 6.11-11.59,Variable 2: 20.36-27.23
2017/1/2 18:20,Variable 1: 6.11-11.59,Variable 2: 20.36-27.23
2017/1/2 18:30,Variable 1: 6.11-11.59,Variable 2: 20.36-27.23
2017/1/2 18:40,Variable 1: 6.11-11.59,Variable 2: 20.36-27.23
2017/1/2 18:50,Variable 1: 6.11-11.59,Variable 2: 20.36-27.23
2017/1/2 19:00,Variable 1: 6.11-11.59,Variable 2: 20.36-27.23
2017/1/2 19:10,Variable 1: 6.11-11.59,Variable 2: 20.36-27.23
2017/1/2 19:20,Variable 1: 6.11-11.59,Variable 2: 20.36-27.23
2017/1/2 19:30,Variable 1: 6.11-11.59,Variable 2: 20.36-27.23
2017/1/2 19:40,Variable 1: 6.11-11.59,Variable 2: 20.36-27.23
2017/1/2 19:50,Variable 1: 6.11-11.59,Variable 2: 20.36-27.23
2017/1/2 20:00,Variable 1: 6.11-11.59,Variable 2: 20.36-27.23
2017/1/2 20:10,Variable 1: 6.11-11.59,Variable 2: 20.36-27.23
2017/1/2 20:20,Variable 1: 6.11-11.59,Variable 2: 20.36-27.23
2017/1/2 20:30,Variable 1: 6.11-11.59,Variable 2: 20.36-27.23
2017/1/2 20:40,Variable 1: 6.11-11.59,Variable 2: 20.36-27.23
2017/1/2 20:50,Variable 1: 6.11-11.59,Variable 2: 20.36-27.23
2017/1/2 21:00,Variable 1: 6.11-11.59,Variable 2: 20.36-27.23
2017/1/2 21:10,Variable 1: 6.11-11.59,Variable 2: 20.36-27.23
2017/1/2 21:20,Variable 1: 6.11-11.59,Variable 2: 20.36-27.23
2017/1/2 21:30,Variable 1: 6.11-11.59,Variable 2: 20.36-27.23
2017/1/2 21:40,Variable 1: 6.11-11.59,Variable 2: 20.36-27.23
2017/1/2 21:50,Variable 1: 6.11-11.59,Variable 2: 20.36-27.23
2017/1/2 22:00,Variable 1: 6.11-11.59,Variable 2: 20.36-27.23
2017/1/2 22:10,Variable 1: 6.11-11.59,Variable 2: 20.36-27.23
2017/1/2 22:20,Variable 1: 6.11-11.59,Variable 2: 20.36-27.23
2017/1/2 22:30,Variable 1: 6.11-11.59,Variable 2: 20.36-27.23
2017/1/2 22:40,Variable 1: 6.11-11.59,Variable 2: 20.36-27.23
2017/1/2 22:50,Variable 1: 6.11-11.59,Variable 2: 20.36-27.23
2017/1/2 23:00,Variable 1: 6.11-11.59,Variable 2: 20.36-27.23
2017/1/2 23:10,Variable 1: 6.11-11.59,Variable 2: 20.36-27.23
2017/1/2 23:20,Variable 1: 6.11-11.59,Variable 2: 20.36-27.23
2017/1/2 23:30,Variable 1: 6.11-11.59,Variable 2: 20.36-27.23
2017/1/2 23:40,Variable 1: 6.11-11.59,Variable 2: 20.36-27.23
2017/1/2 23:50,Variable 1: 6.11-11.59,Variable 2: 20.36-27.23
2017/1/3 0:00,Variable 1: 6.11-11.59,Variable 2: 20.36-27.23
2017/1/3 0:10,Variable 1: 6.11-11.59,Variable 2: 20.36-27.23
2017/1/3 0:20,Variable 1: 6.11-11.59,Variable 2: 20.36-27.23
2017/1/3 0:30,Variable 1: 6.11-11.59,Variable 2: 20.36-27.23
2017/1/3 0:40,Variable 1: 6.11-11.59,Variable 2: 20.36-27.23
2017/1/3 0:50,Variable 1: 6.11-11.59,Variable 2: 20.36-27.23
2017/1/3 1:00,Variable 1: 6.11-11.59,Variable 2: 20.36-27.23
2017/1/3 1:10,Variable 1: 6.11-11.59,Variable 2: 20.36-27.23
2017/1/3 1:20,Variable 1: 6.11-11.59,Variable 2: 20.36-27.23
2017/1/3 1:30,Variable 1: 6.11-11.59,Variable 2: 20.36-27.23
2017/1/3 1:40,Variable 1: 6.11-11.59,Variable 2: 20.36-27.23
2017/1/3 1:50,Variable 1: 6.11-11.59,Variable 2: 20.36-27.23
